id,loan_amnt,term,annual_inc,purpose,home_ownership,outcome
id264,16000,60 months,65000,debt_consolidation,MORTGAGE,paid off
id265,20000,60 months,55680,debt_consolidation,MORTGAGE,paid off
id266,3000,36 months,80000,debt_consolidation,RENT,paid off
id267,16000,36 months,114000,debt_consolidation,MORTGAGE,paid off
id268,7250,36 months,62467,credit_card,RENT,paid off
id269,4800,36 months,16152,debt_consolidation,MORTGAGE,paid off
id270,15900,36 months,76900,debt_consolidation,MORTGAGE,paid off
id271,6000,36 months,41000,debt_consolidation,RENT,paid off
id272,12000,60 months,45000,debt_consolidation,RENT,paid off
id273,24000,36 months,120000,debt_consolidation,MORTGAGE,paid off
id274,20000,60 months,100850,debt_consolidation,MORTGAGE,paid off
id275,7000,36 months,90000,debt_consolidation,MORTGAGE,paid off
id276,7500,36 months,43000,debt_consolidation,RENT,paid off
id277,35000,60 months,85000,credit_card,MORTGAGE,paid off
id278,21000,60 months,90000,small_business,MORTGAGE,paid off
id279,6000,60 months,31200,major_purchase,OWN,paid off
id280,3000,36 months,60000,debt_consolidation,MORTGAGE,paid off
id281,2000,36 months,10000,credit_card,OWN,paid off
id282,12800,36 months,90600,debt_consolidation,RENT,paid off
id283,20000,36 months,67700,credit_card,OWN,paid off
id284,2500,36 months,45000,moving,RENT,paid off
id285,2400,36 months,38000,other,MORTGAGE,paid off
id286,2500,36 months,13200,debt_consolidation,RENT,paid off
id287,12000,60 months,80000,other,RENT,paid off
id288,30225,36 months,165000,debt_consolidation,RENT,paid off
id289,8000,36 months,80000,home_improvement,MORTGAGE,paid off
id290,5550,36 months,54000,debt_consolidation,MORTGAGE,paid off
id291,3000,36 months,65000,debt_consolidation,MORTGAGE,paid off
id292,28000,60 months,100000,debt_consolidation,MORTGAGE,paid off
id293,18750,60 months,60000,debt_consolidation,MORTGAGE,paid off
id294,18000,36 months,75000,debt_consolidation,MORTGAGE,paid off
id295,15000,36 months,45000,debt_consolidation,RENT,paid off
id296,3200,36 months,55800,moving,MORTGAGE,paid off
id297,6900,36 months,39000,home_improvement,MORTGAGE,paid off
id298,5000,36 months,120000,major_purchase,RENT,paid off
id299,9000,36 months,42000,credit_card,RENT,paid off
id300,25000,36 months,130000,debt_consolidation,MORTGAGE,paid off
id301,19200,36 months,125000,credit_card,RENT,paid off
id302,15000,36 months,39000,credit_card,RENT,paid off
id303,7200,36 months,31000,credit_card,MORTGAGE,paid off
id304,9000,60 months,42000,other,RENT,paid off
id305,20000,60 months,49000,debt_consolidation,MORTGAGE,paid off
id306,30000,60 months,108000,debt_consolidation,MORTGAGE,paid off
id307,12000,36 months,39000,debt_consolidation,RENT,paid off
id308,3200,36 months,42500,debt_consolidation,RENT,paid off
id309,21200,36 months,70000,debt_consolidation,MORTGAGE,paid off
id310,4900,36 months,54096,credit_card,RENT,paid off
id311,16000,60 months,85000,debt_consolidation,MORTGAGE,paid off
id312,6000,36 months,25200,small_business,RENT,paid off
id313,7200,36 months,29000,debt_consolidation,MORTGAGE,paid off
id314,12500,36 months,50000,debt_consolidation,RENT,paid off
id315,14000,36 months,104000,debt_consolidation,MORTGAGE,paid off
id316,17100,36 months,85000,credit_card,MORTGAGE,paid off
id317,10000,36 months,45000,debt_consolidation,RENT,paid off
id318,3850,36 months,100000,other,RENT,paid off
id319,24575,36 months,50000,debt_consolidation,RENT,paid off
id320,23500,36 months,53000,debt_consolidation,RENT,paid off
id321,10000,36 months,120000,debt_consolidation,RENT,paid off
id322,5000,36 months,45000,debt_consolidation,RENT,paid off
id323,20000,60 months,76800,home_improvement,MORTGAGE,paid off
id324,10625,36 months,32500,debt_consolidation,RENT,paid off
id325,21000,36 months,110000,small_business,MORTGAGE,paid off
id326,4675,36 months,65000,credit_card,MORTGAGE,paid off
id327,4500,36 months,22464,debt_consolidation,RENT,paid off
id328,6825,36 months,19000,debt_consolidation,RENT,paid off
id329,16800,36 months,138000,debt_consolidation,MORTGAGE,paid off
id330,4000,36 months,33000,other,MORTGAGE,paid off
id331,9350,36 months,49000,debt_consolidation,MORTGAGE,paid off
id332,10000,36 months,43200,debt_consolidation,MORTGAGE,paid off
id333,7000,36 months,122350,credit_card,MORTGAGE,paid off
id334,19975,36 months,75000,credit_card,MORTGAGE,paid off
id335,8000,36 months,60000,debt_consolidation,OWN,paid off
id336,2400,36 months,30000,home_improvement,MORTGAGE,paid off
id337,8400,36 months,32400,credit_card,OWN,paid off
id338,19125,36 months,50000,other,OWN,paid off
id339,2400,36 months,35000,other,RENT,paid off
id340,15000,36 months,40000,debt_consolidation,RENT,paid off
id341,13350,36 months,43000,debt_consolidation,RENT,paid off
id342,24000,60 months,61300,debt_consolidation,MORTGAGE,paid off
id343,15000,36 months,73000,moving,RENT,paid off
id344,29000,60 months,100000,debt_consolidation,RENT,paid off
id345,15000,36 months,64000,debt_consolidation,RENT,paid off
id346,6250,36 months,29000,debt_consolidation,RENT,paid off
id347,11000,36 months,60000,debt_consolidation,RENT,paid off
id348,15000,36 months,50000,home_improvement,OWN,paid off
id349,10000,36 months,38000,debt_consolidation,RENT,paid off
id350,16100,60 months,45000,debt_consolidation,RENT,paid off
id351,17000,60 months,50000,debt_consolidation,RENT,paid off
id352,9000,36 months,60000,home_improvement,RENT,paid off
id353,27975,36 months,70000,small_business,RENT,paid off
id354,12000,36 months,84000,home_improvement,MORTGAGE,paid off
id355,20000,36 months,60000,debt_consolidation,MORTGAGE,paid off
id356,35000,60 months,125000,small_business,OWN,paid off
id357,16000,36 months,60000,home_improvement,MORTGAGE,paid off
id358,12000,36 months,37500,debt_consolidation,OTHER,paid off
id359,10000,36 months,110000,debt_consolidation,MORTGAGE,paid off
id360,23100,36 months,135000,debt_consolidation,RENT,paid off
id361,20000,60 months,260000,debt_consolidation,MORTGAGE,paid off
id362,24000,36 months,169600,debt_consolidation,OWN,paid off
id363,10000,36 months,34000,credit_card,RENT,paid off
id364,15000,36 months,68000,debt_consolidation,MORTGAGE,paid off
id365,12000,60 months,35000,credit_card,MORTGAGE,paid off
id366,6000,36 months,69000,debt_consolidation,RENT,paid off
id367,12000,36 months,15000,other,RENT,paid off
id368,4800,36 months,35000,home_improvement,OTHER,paid off
id369,20000,60 months,63240,debt_consolidation,RENT,paid off
id370,12000,36 months,144000,debt_consolidation,MORTGAGE,paid off
id371,16300,36 months,68000,debt_consolidation,MORTGAGE,paid off
id372,8075,36 months,50000,debt_consolidation,MORTGAGE,paid off
id373,14400,60 months,44000,credit_card,MORTGAGE,paid off
id374,12000,36 months,100000,debt_consolidation,MORTGAGE,paid off
id375,11200,36 months,30809,debt_consolidation,RENT,paid off
id376,14000,36 months,80000,debt_consolidation,MORTGAGE,paid off
id377,10000,36 months,49000,other,RENT,paid off
id378,4800,36 months,30000,debt_consolidation,RENT,paid off
id379,16000,36 months,200000,credit_card,OWN,paid off
id380,35000,60 months,108000,credit_card,MORTGAGE,paid off
id381,8000,36 months,165000,vacation,MORTGAGE,paid off
id382,10000,36 months,47000,debt_consolidation,MORTGAGE,paid off
id383,7000,36 months,49000,credit_card,MORTGAGE,paid off
id384,15000,60 months,117000,debt_consolidation,MORTGAGE,paid off
id385,19400,36 months,187000,home_improvement,MORTGAGE,paid off
id386,8575,36 months,83000,credit_card,MORTGAGE,paid off
id387,22000,36 months,125000,debt_consolidation,MORTGAGE,paid off
id388,12000,36 months,56000,debt_consolidation,RENT,paid off
id389,7800,36 months,100000,home_improvement,MORTGAGE,paid off
id390,3000,36 months,48000,car,RENT,paid off
id391,18000,60 months,51000,other,RENT,paid off
id392,29700,36 months,67000,credit_card,MORTGAGE,paid off
id393,23850,36 months,120000,small_business,MORTGAGE,paid off
id394,25000,60 months,108000,home_improvement,MORTGAGE,paid off
id395,4000,36 months,24000,credit_card,RENT,paid off
id396,4800,60 months,60000,other,OWN,paid off
id397,18225,36 months,42000,credit_card,MORTGAGE,paid off
id398,1900,36 months,34320,home_improvement,MORTGAGE,paid off
id399,5000,36 months,131000,other,MORTGAGE,paid off
id400,35000,60 months,100000,debt_consolidation,MORTGAGE,paid off
id401,16000,36 months,170000,debt_consolidation,MORTGAGE,paid off
id402,12000,36 months,52400,debt_consolidation,RENT,paid off
id403,11000,36 months,37000,debt_consolidation,OWN,paid off
id404,11000,36 months,52000,credit_card,MORTGAGE,paid off
id405,10000,36 months,63320,credit_card,OWN,paid off
id406,15000,60 months,200000,major_purchase,MORTGAGE,paid off
id407,6000,36 months,20000,other,RENT,paid off
id408,12000,36 months,35000,debt_consolidation,RENT,paid off
id409,10000,36 months,90000,debt_consolidation,MORTGAGE,paid off
id410,23850,36 months,53000,debt_consolidation,MORTGAGE,paid off
id411,2400,36 months,155000,major_purchase,MORTGAGE,paid off
id412,33425,60 months,75000,debt_consolidation,MORTGAGE,paid off
id413,4000,36 months,50000,debt_consolidation,MORTGAGE,paid off
id414,25000,36 months,70000,small_business,RENT,paid off
id415,10000,36 months,65000,credit_card,RENT,paid off
id416,12000,60 months,75000,debt_consolidation,MORTGAGE,paid off
id417,13000,36 months,39000,other,RENT,paid off
id418,12000,36 months,60000,credit_card,RENT,paid off
id419,14000,36 months,310000,major_purchase,MORTGAGE,paid off
id420,24000,60 months,78000,other,RENT,paid off
id421,21600,60 months,127284,credit_card,OWN,paid off
id422,31525,60 months,85000,debt_consolidation,MORTGAGE,paid off
id423,2000,36 months,27504,other,OWN,paid off
id424,12000,36 months,165000,credit_card,RENT,paid off
id425,14000,36 months,72000,debt_consolidation,MORTGAGE,paid off
id426,19975,36 months,66000,debt_consolidation,MORTGAGE,paid off
id427,18450,36 months,70000,home_improvement,OWN,paid off
id428,9500,36 months,90000,credit_card,MORTGAGE,paid off
id429,4750,36 months,55000,other,MORTGAGE,paid off
id430,9600,36 months,98000,debt_consolidation,MORTGAGE,paid off
id431,6000,36 months,50000,credit_card,MORTGAGE,paid off
id432,10000,60 months,128000,debt_consolidation,MORTGAGE,paid off
id433,4200,36 months,65000,debt_consolidation,RENT,paid off
id434,10000,36 months,100400,small_business,MORTGAGE,paid off
id435,14075,36 months,50000,debt_consolidation,MORTGAGE,paid off
id436,12000,60 months,70000,major_purchase,MORTGAGE,paid off
id437,24000,60 months,90000,debt_consolidation,MORTGAGE,paid off
id438,4000,36 months,48000,debt_consolidation,MORTGAGE,paid off
id439,3200,36 months,77134,credit_card,MORTGAGE,paid off
id440,12000,36 months,92000,debt_consolidation,MORTGAGE,paid off
id441,18000,36 months,80000,wedding,MORTGAGE,paid off
id442,8000,36 months,42252,wedding,MORTGAGE,paid off
id443,26800,60 months,120000,debt_consolidation,MORTGAGE,paid off
id444,6000,36 months,62000,credit_card,RENT,paid off
id445,6500,36 months,60000,debt_consolidation,MORTGAGE,paid off
id446,24925,36 months,73000,debt_consolidation,RENT,paid off
id447,18000,36 months,112000,other,RENT,paid off
id448,8400,36 months,51996,debt_consolidation,RENT,paid off
id449,6075,36 months,40000,other,RENT,paid off
id450,13200,60 months,67000,small_business,RENT,paid off
id451,4000,36 months,55000,small_business,MORTGAGE,paid off
id452,7200,36 months,72000,credit_card,RENT,paid off
id453,12000,36 months,55000,debt_consolidation,OWN,paid off
id454,7000,36 months,45000,debt_consolidation,OWN,paid off
id455,9525,36 months,41000,debt_consolidation,RENT,paid off
id456,23225,60 months,130000,debt_consolidation,MORTGAGE,paid off
id457,9600,36 months,60000,major_purchase,MORTGAGE,paid off
id458,15000,36 months,180000,wedding,MORTGAGE,paid off
id459,12000,36 months,87000,debt_consolidation,MORTGAGE,paid off
id460,4000,36 months,88975,credit_card,OWN,paid off
id461,4800,36 months,29000,other,RENT,paid off
id462,8800,36 months,57996,other,MORTGAGE,paid off
id463,12000,36 months,105000,credit_card,RENT,paid off
id464,30000,36 months,150000,debt_consolidation,MORTGAGE,paid off
id465,8000,36 months,39000,debt_consolidation,MORTGAGE,paid off
id466,30750,36 months,80000,debt_consolidation,RENT,paid off
id467,8000,36 months,75000,car,MORTGAGE,paid off
id468,5000,36 months,46500,home_improvement,MORTGAGE,paid off
id469,15000,60 months,81012,debt_consolidation,MORTGAGE,paid off
id470,16000,36 months,100000,debt_consolidation,RENT,paid off
id471,16000,36 months,48000,debt_consolidation,RENT,paid off
id472,2000,36 months,41000,major_purchase,RENT,paid off
id473,16500,60 months,48000,credit_card,MORTGAGE,paid off
id474,15000,36 months,66000,wedding,RENT,paid off
id475,8875,60 months,85000,home_improvement,MORTGAGE,paid off
